ProgramId,Program_Name,Program_link,Tailored_To,Available_In,Genre,Region,Description
15716,Journey Through Zimbabwe with Rumb Bee,https://education.culturalinfusion.com/school-programs/journey-through-zimbabwe-with-rumb-bee/,"Assemblies & Events, Community, Pre Primary, Schools",WA,"Music, Storytelling",Africa,"Step into the world of Rumb Bee, a vibrant contemporary jazz artist, as she leads an immersive workshop that blends vocal expression, dance, and the entrancing sounds of the mbira (thumb piano). More than just a music session, this workshop is a celebration of identity, resilience, and the power of sound to connect across cultures. Through storytelling and song, Rumb Bee shares her personal journey- migrating to Australia, rebuilding from the ground up, and finding healing through music. Participants will learn the fundamentals of vocal control, expressive movement, and traditional rhythms from her homeland, all while gaining insight into how music can be a tool for emotional expression and cultural connection. Ideal for aspiring performers, music lovers, and curious minds of all ages, Rhythms of Resilience invites you to sing, move, listen and feel. Come ready to create, reflect, and be inspired by a story of courage, love, and the universal language of music."
15702,Touring 2025 – Melanesian Infusion,https://education.culturalinfusion.com/school-programs/touring-2025-melanesian-infusion/,"Assemblies & Events, Community, Pre Primary, Schools","VIC, Virtual","Dance, Music",Oceania,"Melanesian Infusion is a captivating workshop led by Natty, a talented musician and performer hailing from the Lau Tribe in Malaita Island Province, Solomon Islands. In this program, Natty shares the rich cultural heritage of the Solomon Islands tribes, offering participants a deep dive into the world of tribal songs, chants, and instruments. As a master of log drumming and a warrior of his people’s musical traditions, Natty invites you to explore the rhythms and stories that have been passed down through generations. This unique workshop is a celebration of Melanesian culture, blending music, storytelling, and spirituality in a way that connects the past with the present. Natty is touring Australia for a limited time."
15693,Rhythms of Latin America,https://education.culturalinfusion.com/school-programs/rhythms-of-latin-america/,"Community, Pre Primary, Schools","ACT, SA, Virtual","Dance, Music, Storytelling",South America,"In Rhythms of Latin America participants are introduced to the rich dance and cultural traditions of Hispanic countries through storytelling, movement and music. The program features a range of street Latin dance styles, introducing participants to the fun and upbeat rhythms of Salsa, Cumbia, Merengue, Samba and Tango. Each session begins by exploring the cultural context of a Latin American country through a short story, followed by easy-to-learn choreography inspired by both traditional and contemporary Latin music. The program encourages creativity, connection and a deeper understanding of storytelling through movement."
15668,Rhythms and Jazz Across South and Central Africa,https://education.culturalinfusion.com/school-programs/central-african-grooves-south-african-jazz/,"Assemblies & Events, Community, Schools","VIC, Virtual",Music,Africa,"Immerse yourself in the rich sounds of Africa with two distinct musical experiences. Choose between: Central African Grooves – A dynamic blend of classic and contemporary music from the Congo, Mozambique, and Kenya. This performance brings the infectious rhythms of the 1960s and ’70s into the present, featuring soulful melodies and energetic beats that showcase the region’s musical evolution. GDB Quartet – A South African jazz ensemble performing original compositions and timeless classics. With a lineup of piano, guitar, bass, and drums, they capture the spirit of South African jazz, from township swing to modern interpretations. Whether you prefer the pulsating rhythms of Central Africa or the smooth, expressive sounds of South African jazz, each performance offers a unique and unforgettable musical journey."
15645,Roots & Rhythms: Embracing Heritage Through Performance,https://education.culturalinfusion.com/school-programs/roots-rhythms-embracing-heritage-through-performance/,"Community, Pre Primary, Schools","QLD, Virtual",Theatre,Europe,"Step into a vibrant fusion of Greek heritage, jazz, soul, and storytelling in this dynamic workshop led by seasoned performers, educators, and creative entrepreneurs, Mel and Kat. Through music, personal narratives, and interactive discussions, they inspire participants to harness their cultural roots, build confidence, and embrace creativity.With a selection of engaging focus topics, participants can explore: From Greek Cafés to Main Stages: A journey of creative entrepreneurship Cultural Roots, Lasting Confidence: Using heritage to strengthen identity Finding Your Voice: From shy kids to confident performers Empowered Storytelling: Sharing your heritage through narrative Community & Creativity: Building meaningful connections through the arts The Courage to Create: Pursuing passion and purpose as an entrepreneur Perfect for schools, community groups, and creative spaces, this workshop is an inspiring blend of tradition and modern artistry, designed to empower and connect."
15628,Aboriginal Mural Creation,https://education.culturalinfusion.com/school-programs/aboriginal-mural-creation/,"Community, Pre Primary, Schools","NSW, QLD, VIC, Virtual, WA",Visual Arts,Oceania,"This program offers students the opportunity to engage in the creation of an Aboriginal-inspired mural, working closely with an Aboriginal artist from start to finish. The project fosters cultural understanding, teamwork, and creative expression, while honoring the traditions of Aboriginal art. The journey begins with a Yarning Circle, where students gather to discuss and decide on the storyline that will form the foundation of the mural. In this circle, guided by the Aboriginal artist, students share ideas, learn about Aboriginal culture, and collaboratively develop a meaningful narrative for the artwork. Once the theme is established, students will work directly with the artist to bring the mural to life. A protective sealer will be applied to ensure the mural’s longevity. Painted on a canvas for easy display, the mural will be showcased in an office or public space, with all participants retaining the copyright of the artwork. A Certificate of Completion will be awarded, acknowledging your role in the creation of this cultural piece. Finally, the Yarning Circle will reconvene at the project’s conclusion, where students will reflect on their experiences and hand over ownership of the completed mural, celebrating their collective achievement."
15618,Journey through Kenya with Katinda,https://education.culturalinfusion.com/school-programs/journey-through-kenya-with-katinda/,"Community, Pre Primary, Schools",VIC,"Dance, Languages, Visual Arts",Africa,"Embark on an unforgettable cultural adventure with our “Journey Through Kenya” workshop, where students explore the vibrant traditions, stories, and celebrations of Kenya. This workshop can focus on one of the following topics, depending on your preferences: Cultural Tribal Dance: Students will learn traditional Kenyan dances, discovering the stories and rhythms behind each movement. Art & Craft Creation: Students will create their own Kenyan-inspired crafts while learning the cultural significance behind various designs and materials. Show and Tell: Through a display of Kenyan artifacts, students will engage with cultural items and hear their meaningful stories. Language Fun: Students will learn keywords and phrases in Swahili or local tribal languages to connect with the culture on a deeper level. Rites of Passage & Traditions: Students will hear stories about significant rites of passage and traditions that shape Kenyan communities. Kenyan Celebrations: Students will discover how Kenyan festivals and national holidays celebrate history, culture, and community. Cultural Fashion & Expression: Students will explore the colourful world of Kenyan fashion and learn how clothing expresses cultural identity and values."
15613,Swedish Dance and Culture,https://education.culturalinfusion.com/school-programs/swedish-dance-and-culture/,"Community, Corporate, Pre Primary, Schools",QLD,Music,Europe,"Immerse students in the rich cultural traditions of Sweden with this engaging and interactive workshop, available for all age groups. Led by Rebecca, an accomplished Nyckelharpa player, the workshop celebrates Swedish heritage through music, dance, and storytelling. Participants will explore iconic Swedish folk music, including songs like the playful ‘Små Grodorna’ (The Small Frogs) and lively traditional dances such as the Polska and Halling. The program invites participants to sing, dance, and stomp along while learning about Swedish instruments like the Nyckelharpa, as well as the cultural significance of traditions such as Midsummer. Tailored to suit the age group, this workshop can engage younger children through simple songs and circle dances or offer deeper insights into Swedish folk music for older audiences."
15562,Māori Infusion,https://education.culturalinfusion.com/school-programs/maori-infusion/,"Assemblies & Events, Pre Primary, Schools","QLD, Virtual","Dance, Music, Visual Arts",Oceania,"This program will take you on a journey through the rich culture and history of the Māori people. This program will allow you to experience a range of traditional cultural customs including Kapa Haka (Māori performing arts), Taonga Puoro (Māori musical instruments) and Toi Māori (Creative Māori Arts). This program aims to foster new learnings, experiences and relationships through Māori ways of being, doing and living. Nau mai haere mai!"
15504,Colombian-Caribbean Rhythms and Culture,https://education.culturalinfusion.com/school-programs/colombian-caribbean-rhythms-culture/,"Assemblies & Events, Community, Pre Primary, Schools","NSW, Virtual","Dance, Music",South America,"Immerse students in the culture of Colombia’s northern Caribbean coast, exploring its traditions and rhythms. Through dynamic styles such as Cumbia, Mapalé, La Puya, and Bullerengue, students will experience the unique sounds of the region. In this interactive workshop, participants will use their own bodies as instruments, recreating the rhythms of the Caribbean while learning about its diverse culture."
15496,Thai Infusion,https://education.culturalinfusion.com/school-programs/thai-infusion/,"Community, Pre Primary, Schools",QLD,"Dance, Music",Asia,"In this workshop, you will experience the enchanting sounds of traditional Thai Fiddle like the Saw Duang and Saw U, Bamboo Shaker and Thai Hammered Dulcimer, paired with the grace and beauty of Thai classical dance. Discover the stories behind Thailand’s rich musical heritage, learn the basics of playing traditional instruments, and explore elegant dance movements that reflect the harmony and rhythm of Thai life. Our presenter’s interactive and engaging sessions bring Thai culture to life, offering a unique opportunity to explore its artistic and spiritual roots."
15462,Yalla! Arab Dance and Culture,https://education.culturalinfusion.com/school-programs/what-the-dabke/,"Assemblies & Events, Community, Pre Primary, Schools","NSW, VIC",Dance,Middle East,"In Yalla! Arab Dance and Culture, participants will embark on a lively and engaging journey into the diverse and rich traditions of the Arab world. This highly interactive program offers an opportunity to explore Arab cultures and histories through dance, music, and storytelling. The Arab world is home to a variety of traditions, cultures, and dialects. This program celebrates this diversity, featuring presenters from Lebanon, Palestine, Syria, and beyond, and allowing participants to discover the beauty of cultural expressions that span regions and generations. One of the highlights of the workshop will be learning Dabke, the energetic and communal folk dance beloved in many Arab countries. Participants will have the chance to dance together, creating a sense of connection and joy as they experience the rhythm of the dance."
15458,The Art of Henna,https://education.culturalinfusion.com/school-programs/the-art-of-henna/,"Community, Schools","QLD, Virtual",Visual Arts,Multicultural,"Step into the vibrant world of Henna art, a timeless tradition that weaves together history, culture, and creativity. In this 1.5-hour workshop, students will not only learn the rich cultural background of Henna, tracing its origins through Africa, India, and the Middle East, but they will also get a hands-on experience in creating beautiful Henna designs themselves."
15415,Magic Infusion,https://education.culturalinfusion.com/school-programs/magic-infusion/,"Community, Pre Primary, Schools",VIC,Theatre,Multicultural,"This program is an immersive and interactive experience designed to ignite creativity, curiosity, and wonder in participants of all ages. Rooted in diverse cultural traditions from around the world, the program blends storytelling, performing arts, and visual arts to explore magical elements, folklore, and imaginative thinking. Participants are taken on a journey through captivating narratives, hands-on activities, and live performances that showcase the power of imagination in shaping cultures and communities."
15359,Korean (K-pop) Dance,https://education.culturalinfusion.com/school-programs/k-pop-dance/,Schools,NSW,"Dance, Music",Asia,"In this exciting workshop, students will explore all things K-pop! This workshop will start with a skilled performance by our presenters, followed by a lesson on popular K-pop dance moves including the ‘Bang Bang Bang’ and ‘Mic Drop’. At the end of the workshop, students will have an opportunity to showcase their new dance skills to the popular K-pop sensation, Gangnam Style!"
15332,Chinese Lantern Decorating,https://education.culturalinfusion.com/school-programs/chinese-lantern-decorating/,"Community, Schools","NSW, VIC",Visual Arts,Asia,"As part of the cherished tradition of the Moon Cake Festival, participants will be invited to decorate Chinese lanterns adorned with traditional patterns. These lanterns, often illuminated and displayed during the festival, are important symbols of wealth, prosperity, and good fortune. Decorating the lanterns not only connects participants with the cultural significance of the festival but also allows them to engage creatively in this age-old celebration."
15249,The Art of Origami,https://education.culturalinfusion.com/school-programs/the-art-of-origami/,"Pre Primary, Schools","NSW, QLD, VIC, Virtual, WA",Visual Arts,Asia,"Dive into the world of origami with our Art of Origami workshop! This hands-on session will teach the Japanese art and science of paper folding, fostering creativity, concentration, and cultural appreciation. Participants will learn to create intricate designs while exploring the history and cultural significance of origami in Japan. Join us to unfold your potential and discover the magic of transforming simple paper into beautiful creations."
15240,What It Takes to Get a Guinness World Record?,https://education.culturalinfusion.com/school-programs/what-it-takes-to-get-a-guinness-world-record/,"Community, Pre Primary, Schools",VIC,Storytelling,Multicultural,"Unique to Cultural Infusion – Guinness world record holder and coach Dean presents the inside world of Guinness. It begins with GWR history in the 1950’s when Guinness Brewery Director Sir Hugh Beaver had the idea to compile a book of facts and figures to promote Guinness beer. It explores what it takes to get a Guinness world record, details Dean’s personal Guinness story of hanging out with other world record holders -including the world champion toe wrestler, sitting the world’s smallest man on his knee, and shaking the world’s biggest hand. The talk includes some action film, archival photos, live demonstrations and interactive exercises that include giving students a chance to break an unofficial world record."
15198,Japanese Martial Arts,https://education.culturalinfusion.com/school-programs/japanese-martial-arts/,"Community, Pre Primary, Schools","NSW, VIC, WA","Martial Arts, Wellbeing",Asia,"Japanese martial arts, traditionally known as budō (武道), are art forms that have evolved over centuries in Japan. In this high-energy educational workshop, participants will explore the rich history and philosophy of martial arts in Japan and have the opportunity to try various styles such as Karate, Judo, and Aikido. Translated as “the way of the warrior,” budō encompasses disciplines that require dedication, hard work, and practice. These concepts are of cultural significance and form the foundation of many Japanese martial arts. Adaptable to different ages and physical abilities, participants will gain an appreciation for the discipline, practice, and mastery that Japanese martial arts are renowned for."
15141,Chinese-Korean Ethnic Dance,https://education.culturalinfusion.com/school-programs/chinese-korean-ethnic-dance/,Schools,VIC,"Dance, Music",Asia,"Inspired by the farmers’ dance of China’s Korean ethnic group, Chinese Korean Ethnic Dance offers a dynamic blend of tradition and expression. Through rhythmic movements and vibrant costumes, students will embark on a journey that celebrates the heritage and history of members of the Korean ethnic group in Jilin and other provinces of north-eastern China. This program provides a hands-on opportunity for students to engage with cross-cultural traditions in a supportive and inclusive environment. With dance inspired by the motions of farming such as ‘walking the field ridges,’ participants will learn the significance behind each movement, fostering cultural awareness and empathy. Chinese Korean Ethnic Dance aims to ignite curiosity and foster connections, creating an unforgettable experience that not only educates but also inspires a deep appreciation for cultural diversity."
15011,Mini Aboriginal Cultural Day,https://education.culturalinfusion.com/school-programs/mini-aboriginal-cultural-day/,Pre Primary,"QLD, VIC","Dance, Music, Storytelling, Visual Arts",Oceania,"A child-friendly take on our popular Aboriginal Culture for a Day, our Mini Aboriginal Cultural Day is tailored to Early Childhood and immerses children in Aboriginal and Torres Strait Islander cultures through the following 3 workshops: Aboriginal Dance & Didgeridoo Aboriginal Storytelling & Artefacts Aboriginal Symbolic Art Each workshop will run for 30-minutes, and this experience is tailored to your centre’s schedule. The Mini Aboriginal Cultural Day experience is priced at $1350 + GST and can accommodate up to 40 children. (This experience is valued at $499 + GST per session for a total of $1497 + GST, making it a more cost-effective option for children to explore a variety of cultural aspects)."
14993,Hip Hop Lyric Writing,https://education.culturalinfusion.com/school-programs/hip-hop-lyric-writing/,"Community, Pre Primary, Schools",SA,Music,Multicultural,"Hip Hop Lyric Writing is a program where creativity and expression collide! This immersive experience invites students to explore the ins and outs of hip-hop culture in an engaging and interactive setting. By introducing students to the vibrant world of hip hop, and through a series of exercises, students are guided through the process of transforming their ideas into hip-hop verses. Step by step, students learn to break down their thoughts into lyricism, igniting their curiosity and enthusiasm."
14986,Aboriginal Performances and Ceremonies,https://education.culturalinfusion.com/school-programs/aboriginal-performances-and-ceremonies/,"Assemblies & Events, Corporate","VIC, WA",Music,Oceania,Our First Nations Presenters across Australia are available to provide: Acknowledgement of Country Smoking Ceremony Didgeridoo and Dance Performances
14987,Embedding Aboriginal Perspectives in the Workplace,https://education.culturalinfusion.com/school-programs/embedding-aboriginal-perspectives-in-the-workplace/,Corporate,VIC,Storytelling,Oceania,"This professional development session led by Victorian Aboriginal Elder from Palawa Country, Aunty Gabby, supports professionals in respectfully integrating Aboriginal perspectives into their work. Through storytelling, discussion, and reflection, participants gain insights into the importance of positive reconciliation and honouring First Nations voices."
14980,Storytelling with Uncle Paul,https://education.culturalinfusion.com/school-programs/storytelling-with-uncle-paul/,Corporate,VIC,Storytelling,Oceania,"Uncle Paul, a respected Wakka Wakka Elder, shares his passion for traditional arts and cultural knowledge through captivating storytelling. Participants will learn about Aboriginal culture as a living heritage, fostering mutual understanding and respect."
14976,Symbolic Art Workshop,https://education.culturalinfusion.com/school-programs/symbolic-art-workshop/,Corporate,VIC,Visual Arts,Oceania,"Discover the rich history and significance of Aboriginal art through a hands-on workshop led by Victorian Aboriginal Elder and artist from Palawa Country, Aunty Gabby. Participants will engage with traditional Aboriginal symbols and art techniques on gum leaves, with the option to conjoin their creations into an artwork memento of the experience to display in the office. This workshop creates an open environment for discussion on broader topics surrounding Aboriginal art, culture and traditions."
14328,Korean Classical Dance,https://education.culturalinfusion.com/school-programs/korean-classical-dance/,"Assemblies & Events, Community, Pre Primary, Schools","NSW, VIC","Dance, Music",Asia,"Korean Classical Dance engages your students in the sights and sounds of enduring art forms from Korea! Tracing back 5000 years ago to its Shamanistic origins, this engaging program offers a captivating introduction to traditional Korean and folk dances, exploring the culture and history behind these mesmerising forms of expression. Students will actively participate in this interactive program, immersing themselves in movement and dance. Guided by the presenter, they will learn to emulate traditional dance variations like fan, long sleeve, and drum dances, and even have the opportunity to wear pieces of traditional attire!"
14213,Mime Magnifique!,https://education.culturalinfusion.com/school-programs/mime-magnifique/,"Assemblies & Events, Community, Pre Primary, Schools","NSW, VIC",Theatre,Europe,"Our Mime Magnifique! program is filled with action, fun and festivities. Taking participants on a journey exploring French culture and history, they will learn the significance of the French artform of mime. With charades, magic tricks, and more, the presenter brings theatre to life in a highly interactive and engaging workshop."
14152,Japanese Calligraphy (Shodo),https://education.culturalinfusion.com/school-programs/japanese-calligraphy-shodo/,"Community, Corporate, Pre Primary, Schools","QLD, VIC, WA","Languages, Visual Arts",Asia,"Japanese calligraphy, also known as Shodo, is one of the oldest and most profound traditional art forms in Japan. In this program, an experienced Shodo artist will introduce the history and origins of calligraphy. Through this program, participants can further explore Shodo by learning various brush techniques, calligraphy styles, stroke order, and the balance of Japanese characters."
14148,Japanese Ink Painting (Sumi-e),https://education.culturalinfusion.com/school-programs/japanese-ink-painting-sumi-e/,"Community, Corporate, Pre Primary, Schools","VIC, WA",Visual Arts,Asia,"Japanese Ink Painting, also known as Sumi-e, guides participants in preparing inks and incorporating different ink tones and brush techniques to create traditional ink paintings. By capturing objects from nature through their individual interpretations and expressing themselves through the art, participants can experience traditional Japanese ink paintings, and the exploration of the inner self through this meditative session."
14135,Aboriginal Storytelling and Artefacts,https://education.culturalinfusion.com/school-programs/aboriginal-storytelling-and-artefacts/,"Community, Pre Primary, Schools","ACT, NSW","Dance, Storytelling",Oceania,"Our Aboriginal Storytelling and Artefacts program combines storytelling, artefacts and interactive activities, creating an engaging session for your students! During the session, students will learn about different aspects of Aboriginal culture through storytelling, as well as an introduction to the history of Aboriginal tools and artefacts. Further activities such as acting out stories and engaging with cultural artefacts give the students the opportunity to further immerse themselves in Aboriginal culture throughout this program."
14017,Mini Multicultural Day,https://education.culturalinfusion.com/school-programs/mini-multicultural-day/,Pre Primary,"ACT, NSW, QLD, SA, VIC, WA","Dance, Languages, Martial Arts, Music, Science, Storytelling, Sustainability, Theatre, Visual Arts, Wellbeing",Multicultural,"This program allows the choice of 3 individual pre-primary programs. You can explore one culture, language or topic in depth or travel the world with a program from each continent. Each workshop will run for 30-minutes, and this experience is tailored to your centre’s schedule. Once the programs are finalised, you will receive a personalised timetable to ensure the day runs smoothly. The Mini Multicultural Day experience is priced at $1350 + GST and can accommodate up to 40 children. (This experience is valued at $499 + GST per session for a total of $1497 + GST, making it a more cost-effective option for children to explore a variety of cultural programs). Please note, not all pre-primary programs are available as part of this experience."
13992,Songs of Italia,https://education.culturalinfusion.com/school-programs/songs-of-italia/,"Assemblies & Events, Community, Corporate, Schools",VIC,Music,Europe,"Aria award winner, songbird and folkloric explorer Kavisha is known for her humour, poetry, and spirituality. Singing in English and Italian, she will take you on a journey through time and space, exploring over 600 years of Italian folk music. Songs of the field, love, birth, and protest; Kavisha delves into how people expressed their lives through song and how these styles differ between region, time, and language."
13989,Le Voci Della Luna,https://education.culturalinfusion.com/school-programs/le-voce-della-luna/,"Community, Schools",VIC,Music,Europe,"Le Voce Delle Luna, The Voice of the Moon Choir sings a vibrant blend of traditional and contemporary Italian folk songs with a passion and enthusiasm that is infectious. A vibrant group of women, Le Voce Della Luna present traditional folk songs sung from their hearts with passion and enthusiasm. The aim of this remarkable showcase of mothers, wives and sisters is to retain and promote the Italian heritage, culture, arts and traditions through music and song."
13962,"Introducing Diversity, Equity and Inclusion (DEI) in Education",https://education.culturalinfusion.com/school-programs/introducing-dei-in-education/,"Professional Development, Teachers/Educators","VIC, Virtual",Professional Development,Multicultural,"This live session will provide an introduction to Diversity, Equity and Inclusion (DEI), and apply its principles, practices and challenges to educational settings. The facilitator will provide teachers with new ideas and perspectives to ensure students feel represented, valued and included in the classroom. This will take an interactive format including lecture slides, activities, practical resources and engaging discussion. By fostering a safe and open environment for students, they will develop their critical and creative thinking and be empowered to reach their full potential."
13960,Introduction to Embedding Aboriginal Perspectives in the Classroom,https://education.culturalinfusion.com/school-programs/introduction-to-embedding-aboriginal-perspectives-in-the-classroom/,"Professional Development, Teachers/Educators","VIC, Virtual, WA",Professional Development,Multicultural,"Aligned with the Cross Curriculum priority in the Australian Curriculum of Aboriginal and Torres Strait Islander Histories and Cultures, this session will introduce teachers/educators to how they can respectfully and appropriately teach this area of study. Co-facilitated by a First Nations presenter, the session will foster a safe and inclusive environment built on mutual respect and intercultural understanding. By engaging in the stories, knowledge, histories and experiences of First Nations peoples, and learning from one another, participants will begin a journey of ongoing and meaningful engagement. The key objective of the session is to inspire reflection and critical thinking and provide important perspectives to honour First Nations voices in the classroom."
